Symbol
ABEV
ABT
ACI
AEM
AEP
AGL
AIG
AMCR
AMD
AMZN
APA
APO
ASX
ATVI
AVTR
AZN
BABA
BAC
BAX
BCS
BEKE
BEN
BHP
BK
BKR
BMY
BP
BSX
BTI
BX
C
CAG
CARR
CCL
CFG
CG
CHWY
CL
CMCSA
CNHI
CNP
COIN
COP
CPNG
CSCO
CSX
CTRA
CTSH
CVE
CVS
D
DAL
DASH
DB
DDOG
DELL
DHI
DIS
DOCU
DOW
DUK
DVN
EBAY
EMR
ENB
EPD
EQNR
EQT
ERIC
ET
EW
EXC
F
FCX
FIS
FITB
GE
GEN
GFI
GILD
GIS
GLW
GM
GOLD
GRAB
HAL
HBAN
HLN
HPE
HPQ
HSBC
HST
HWM
IBN
INFY
ING
INTC
INVH
IP
JD
KDP
KEY
KHC
KIM
KMI
KO
KR
LCID
LI
LUV
LVS
LYG
MCHP
MDLZ
MDT
MET
MFC
MGM
MO
MOS
MRO
MRVL
MS
MTCH
MU
MUFG
NEE
NEM
NET
NI
NIO
NOK
NTR
NU
NVS
O
ON
ORCL
OWL
OXY
PARA
PBR
PCG
PDD
PEAK
PFE
PHM
PINS
PLTR
PM
PPL
PRU
PSX
PYPL
RBLX
RCL
RF
RIVN
RTX
SAN
SBUX
SCHW
SE
SHEL
SHOP
SIRI
SLB
SNAP
SO
SQ
STLA
STM
SU
SYF
T
TCOM
TD
TFC
TJX
TSM
TWLO
U
UAL
UBER
UBS
UMC
USB
VALE
VICI
VOD
VTRS
VZ
WBA
WBD
WFC
WMB
WY
XEL
XM
ZTO
