Datetime,Open,High,Low,Close,Volume
2023-02-16 09:30:00-05:00,408.79,409.54,408.74,409.19,5015722
2023-02-16 09:35:00-05:00,409.19,409.38,408.26,409.37,1361849
2023-02-16 09:40:00-05:00,409.37,409.64,408.638,409.23,1321536
2023-02-16 09:45:00-05:00,409.23,409.68,408.81,409.21,951374
2023-02-16 09:50:00-05:00,409.22,409.75,408.97,409.19,1013424
2023-02-16 09:55:00-05:00,409.2,409.44,408.76,408.86,1231396
2023-02-16 10:00:00-05:00,408.83,409.075,408.4,408.8,1477213
2023-02-16 10:05:00-05:00,408.79,409.59,408.72,409.45,950447
2023-02-16 10:10:00-05:00,409.44,410.08,409.3,409.69,1125331
2023-02-16 10:15:00-05:00,409.7,410.23,409.32,410.16,1077816
2023-02-16 10:20:00-05:00,410.155,410.64,410.1,410.15,1282567
2023-02-16 10:25:00-05:00,410.15,410.55,409.96,410.53,661042
2023-02-16 10:30:00-05:00,410.51,410.83,410.4,410.73,781835
2023-02-16 10:35:00-05:00,410.72,411.35,410.53,411.09,1056963
2023-02-16 10:40:00-05:00,411.09,411.33,410.81,410.89,1057087
2023-02-16 10:45:00-05:00,410.87,411.6,410.78,411.56,830534
2023-02-16 10:50:00-05:00,411.57,411.67,411.14,411.35,1106828
2023-02-16 10:55:00-05:00,411.34,411.38,410.96,411.34,715621
2023-02-16 11:00:00-05:00,411.36,411.88,411.24,411.726,1009130
2023-02-16 11:05:00-05:00,411.7,411.77,410.85,411.279,890856
2023-02-16 11:10:00-05:00,411.28,411.53,410.9,411.25,610692
2023-02-16 11:15:00-05:00,411.25,411.5,411.04,411.37,552223
2023-02-16 11:20:00-05:00,411.365,411.45,410.77,411.145,502367
2023-02-16 11:25:00-05:00,411.14,411.6,410.9,411.38,493307
2023-02-16 11:30:00-05:00,411.4,411.83,411.26,411.42,596177
2023-02-16 11:35:00-05:00,411.42,411.43,410.98,411.225,421221
2023-02-16 11:40:00-05:00,411.225,411.64,411.16,411.46,456454
2023-02-16 11:45:00-05:00,411.47,412.05,411.45,411.792,774841
2023-02-16 11:50:00-05:00,411.81,411.91,411.4,411.55,524084
2023-02-16 11:55:00-05:00,411.55,411.79,411.39,411.43,292389
2023-02-16 12:00:00-05:00,411.55,411.63,411.28,411.34,366028
2023-02-16 12:05:00-05:00,411.34,411.69,411.26,411.56,319913
2023-02-16 12:10:00-05:00,411.57,411.9,411.57,411.8,305444
2023-02-16 12:15:00-05:00,411.77,411.89,410.86,410.88,702340
2023-02-16 12:20:00-05:00,410.88,411.98,410.85,411.94,691407
2023-02-16 12:25:00-05:00,411.93,412.15,411.78,411.91,649934
2023-02-16 12:30:00-05:00,411.92,412.6,411.84,412.44,637420
2023-02-16 12:35:00-05:00,412.43,412.73,412.38,412.48,524198
2023-02-16 12:40:00-05:00,412.47,412.72,412.405,412.696,403479
2023-02-16 12:45:00-05:00,412.709,412.89,412.52,412.675,656540
2023-02-16 12:50:00-05:00,412.68,412.769,412.27,412.419,720085
2023-02-16 12:55:00-05:00,412.43,412.47,411.75,412.14,827909
2023-02-16 13:00:00-05:00,412.17,412.663,411.77,412.08,716549
2023-02-16 13:05:00-05:00,412.07,412.44,412.04,412.373,328677
2023-02-16 13:10:00-05:00,412.27,412.42,411.93,411.96,221335
2023-02-16 13:15:00-05:00,411.97,412.09,411.6,411.89,961374
2023-02-16 13:20:00-05:00,411.889,412.0,411.4,411.78,404018
2023-02-16 13:25:00-05:00,411.78,411.91,411.399,411.46,365669
2023-02-16 13:30:00-05:00,411.48,411.78,411.305,411.78,472744
2023-02-16 13:35:00-05:00,411.768,412.21,411.768,412.076,463853
2023-02-16 13:40:00-05:00,412.075,412.29,411.9,412.235,423655
2023-02-16 13:45:00-05:00,412.245,412.42,411.94,412.19,418211
2023-02-16 13:50:00-05:00,412.18,412.27,411.83,412.11,342953
2023-02-16 13:55:00-05:00,412.1,412.21,411.99,412.15,250096
2023-02-16 14:00:00-05:00,412.14,412.59,412.13,412.56,466500
2023-02-16 14:05:00-05:00,412.58,412.6,412.19,412.3,350731
2023-02-16 14:10:00-05:00,412.3,412.47,412.2,412.32,261654
2023-02-16 14:15:00-05:00,412.32,412.6,412.14,412.42,399581
2023-02-16 14:20:00-05:00,412.425,412.46,411.84,412.431,564778
2023-02-16 14:25:00-05:00,412.425,412.72,412.42,412.5,386433
2023-02-16 14:30:00-05:00,412.51,412.73,412.48,412.65,579887
2023-02-16 14:35:00-05:00,412.65,412.91,412.61,412.67,415540
2023-02-16 14:40:00-05:00,412.68,412.72,412.18,412.365,497576
2023-02-16 14:45:00-05:00,412.365,412.45,412.23,412.33,372586
2023-02-16 14:50:00-05:00,412.34,412.44,412.15,412.33,235290
2023-02-16 14:55:00-05:00,412.326,412.48,412.17,412.18,331082
2023-02-16 15:00:00-05:00,412.19,412.32,411.57,411.6,533730
2023-02-16 15:05:00-05:00,411.59,411.84,410.81,411.398,1910344
2023-02-16 15:10:00-05:00,411.38,411.52,410.93,410.95,597098
2023-02-16 15:15:00-05:00,410.95,411.1,410.12,410.22,1604043
2023-02-16 15:20:00-05:00,410.22,410.3,409.59,409.97,1656386
2023-02-16 15:25:00-05:00,409.97,410.24,409.32,409.34,1306053
2023-02-16 15:30:00-05:00,409.34,409.41,408.651,408.97,2258211
2023-02-16 15:35:00-05:00,408.96,409.54,408.775,409.025,1327977
2023-02-16 15:40:00-05:00,409.03,409.13,408.32,409.03,1718496
2023-02-16 15:45:00-05:00,409.04,409.16,408.5,409.07,1846011
2023-02-16 15:50:00-05:00,409.07,409.5,408.65,408.875,2567834
2023-02-16 15:55:00-05:00,408.875,409.05,408.14,408.33,4984717
2023-02-17 09:30:00-05:00,406.06,406.67,405.65,406.625,4114093
2023-02-17 09:35:00-05:00,406.63,406.81,405.729,405.75,1462267
2023-02-17 09:40:00-05:00,405.75,405.98,405.36,405.43,1449595
2023-02-17 09:45:00-05:00,405.42,405.43,404.85,404.955,2412734
2023-02-17 09:50:00-05:00,404.96,405.1,404.25,404.365,1603368
2023-02-17 09:55:00-05:00,404.35,404.76,404.18,404.74,1394549
2023-02-17 10:00:00-05:00,404.74,405.66,404.68,405.52,1587528
2023-02-17 10:05:00-05:00,405.51,405.75,405.22,405.36,917307
2023-02-17 10:10:00-05:00,405.35,406.1,405.11,405.76,1037629
2023-02-17 10:15:00-05:00,405.77,406.71,405.48,406.52,1179988
2023-02-17 10:20:00-05:00,406.52,407.04,406.01,406.01,1463858
2023-02-17 10:25:00-05:00,406.001,406.283,405.83,405.91,762947
2023-02-17 10:30:00-05:00,405.91,406.63,405.76,406.441,947319
2023-02-17 10:35:00-05:00,406.45,407.23,406.06,406.27,1260674
2023-02-17 10:40:00-05:00,406.26,406.3,405.32,405.358,817350
2023-02-17 10:45:00-05:00,405.35,405.64,405.095,405.38,729622
2023-02-17 10:50:00-05:00,405.39,405.45,404.97,405.13,563976
2023-02-17 10:55:00-05:00,405.139,405.354,404.8,404.935,591762
2023-02-17 11:00:00-05:00,404.935,405.01,404.53,404.86,705512
2023-02-17 11:05:00-05:00,404.86,405.37,404.81,404.97,573404
2023-02-17 11:10:00-05:00,404.935,405.31,404.935,405.15,390203
2023-02-17 11:15:00-05:00,405.15,405.23,404.765,404.875,2554707
2023-02-17 11:20:00-05:00,404.87,404.87,404.62,404.63,151583
