Datetime,Open,High,Low,Close,Volume
2023-02-16 09:30:00-05:00,304.38,305.16,304.32,304.9,4779898
2023-02-16 09:35:00-05:00,304.91,304.99,303.71,304.99,1906106
2023-02-16 09:40:00-05:00,304.98,305.405,304.44,304.94,1241492
2023-02-16 09:45:00-05:00,304.96,305.61,304.58,305.23,1102212
2023-02-16 09:50:00-05:00,305.24,305.94,304.975,305.58,1147329
2023-02-16 09:55:00-05:00,305.58,306.0,305.22,305.33,1219292
2023-02-16 10:00:00-05:00,305.32,305.39,304.64,305.08,1164162
2023-02-16 10:05:00-05:00,305.06,305.91,304.96,305.74,1093358
2023-02-16 10:10:00-05:00,305.73,306.52,305.53,305.604,934342
2023-02-16 10:15:00-05:00,305.61,306.11,305.27,306.005,1353696
2023-02-16 10:20:00-05:00,306.0,306.67,305.951,306.29,766450
2023-02-16 10:25:00-05:00,306.3,306.72,306.03,306.55,574816
2023-02-16 10:30:00-05:00,306.53,306.93,306.47,306.83,591490
2023-02-16 10:35:00-05:00,306.83,307.55,306.6,307.13,619754
2023-02-16 10:40:00-05:00,307.124,307.434,306.85,306.9,772838
2023-02-16 10:45:00-05:00,306.89,307.75,306.84,307.729,505455
2023-02-16 10:50:00-05:00,307.73,307.88,307.21,307.389,609019
2023-02-16 10:55:00-05:00,307.37,307.39,306.985,307.35,557808
2023-02-16 11:00:00-05:00,307.39,307.94,307.27,307.803,542571
2023-02-16 11:05:00-05:00,307.78,307.87,306.9,307.28,593972
2023-02-16 11:10:00-05:00,307.3,307.54,306.76,307.29,445880
2023-02-16 11:15:00-05:00,307.29,307.46,307.04,307.32,379747
2023-02-16 11:20:00-05:00,307.35,307.43,306.645,307.02,499148
2023-02-16 11:25:00-05:00,307.03,307.41,306.712,307.21,346918
2023-02-16 11:30:00-05:00,307.22,307.63,307.02,307.22,387898
2023-02-16 11:35:00-05:00,307.23,307.23,306.86,307.06,344933
2023-02-16 11:40:00-05:00,307.07,307.51,307.04,307.31,364887
2023-02-16 11:45:00-05:00,307.31,307.81,307.31,307.63,487584
2023-02-16 11:50:00-05:00,307.63,307.76,307.32,307.35,309091
2023-02-16 11:55:00-05:00,307.368,307.61,307.14,307.18,336139
2023-02-16 12:00:00-05:00,307.15,307.36,306.95,307.095,261538
2023-02-16 12:05:00-05:00,307.12,307.4,306.995,307.21,296890
2023-02-16 12:10:00-05:00,307.25,307.5,307.2,307.37,248835
2023-02-16 12:15:00-05:00,307.39,307.46,306.35,306.36,1345005
2023-02-16 12:20:00-05:00,306.37,307.56,306.3,307.34,752308
2023-02-16 12:25:00-05:00,307.35,307.55,307.25,307.42,301124
2023-02-16 12:30:00-05:00,307.448,308.22,307.4,308.08,478489
2023-02-16 12:35:00-05:00,308.08,308.37,307.99,308.06,544482
2023-02-16 12:40:00-05:00,308.05,308.26,307.98,308.24,234070
2023-02-16 12:45:00-05:00,308.26,308.43,308.08,308.18,244130
2023-02-16 12:50:00-05:00,308.18,308.24,307.81,307.85,496673
2023-02-16 12:55:00-05:00,307.87,307.88,307.23,307.431,471394
2023-02-16 13:00:00-05:00,307.435,307.92,307.09,307.351,428819
2023-02-16 13:05:00-05:00,307.39,307.72,307.37,307.67,221196
2023-02-16 13:10:00-05:00,307.654,307.73,307.22,307.26,259578
2023-02-16 13:15:00-05:00,307.26,307.31,306.828,307.132,464265
2023-02-16 13:20:00-05:00,307.13,307.237,306.76,307.16,259559
2023-02-16 13:25:00-05:00,307.145,307.35,306.8,306.9,287606
2023-02-16 13:30:00-05:00,306.842,307.21,306.7,307.16,314324
2023-02-16 13:35:00-05:00,307.16,307.605,307.16,307.494,605671
2023-02-16 13:40:00-05:00,307.49,307.76,307.31,307.7,310689
2023-02-16 13:45:00-05:00,307.71,307.93,307.39,307.704,374190
2023-02-16 13:50:00-05:00,307.73,307.81,307.4,307.66,271537
2023-02-16 13:55:00-05:00,307.66,307.76,307.52,307.67,213495
2023-02-16 14:00:00-05:00,307.685,308.03,307.685,307.925,330728
2023-02-16 14:05:00-05:00,307.92,307.93,307.45,307.54,352215
2023-02-16 14:10:00-05:00,307.535,307.659,307.39,307.49,244889
2023-02-16 14:15:00-05:00,307.49,307.73,307.34,307.5,538298
2023-02-16 14:20:00-05:00,307.51,307.53,306.92,307.4,483006
2023-02-16 14:25:00-05:00,307.36,307.7,307.36,307.48,701607
2023-02-16 14:30:00-05:00,307.488,307.735,307.45,307.64,457033
2023-02-16 14:35:00-05:00,307.65,307.99,307.6,307.84,309137
