Datetime,Open,High,Low,Close,Volume
2023-02-14 09:30:00-05:00,152.12,152.25,151.31,151.38,2929474
2023-02-14 09:31:00-05:00,151.39,151.5,151.0,151.22,404013
2023-02-14 09:32:00-05:00,151.16,151.46,151.0,151.215,344783
2023-02-14 09:33:00-05:00,151.23,151.4,151.06,151.13,286128
2023-02-14 09:34:00-05:00,151.11,151.44,151.11,151.35,314725
2023-02-14 09:35:00-05:00,151.36,151.555,151.19,151.274,315162
2023-02-14 09:36:00-05:00,151.28,151.481,151.25,151.405,290709
2023-02-14 09:37:00-05:00,151.39,151.65,151.39,151.5,363588
2023-02-14 09:38:00-05:00,151.5,151.72,151.29,151.493,357647
2023-02-14 09:39:00-05:00,151.49,151.78,151.36,151.66,285857
2023-02-14 09:40:00-05:00,151.635,151.87,151.625,151.66,378007
2023-02-14 09:41:00-05:00,151.67,152.23,151.67,152.1,471036
2023-02-14 09:42:00-05:00,152.1,152.1,151.86,151.98,349493
2023-02-14 09:43:00-05:00,151.97,152.09,151.82,151.95,258083
2023-02-14 09:44:00-05:00,151.96,152.25,151.92,152.05,340303
2023-02-14 09:45:00-05:00,152.025,152.46,152.025,152.314,346923
2023-02-14 09:46:00-05:00,152.31,152.391,152.08,152.391,264585
2023-02-14 09:47:00-05:00,152.39,152.6,152.381,152.48,327089
2023-02-14 09:48:00-05:00,152.477,152.57,152.3,152.305,293315
2023-02-14 09:49:00-05:00,152.31,152.47,152.21,152.305,232472
2023-02-14 09:50:00-05:00,152.315,152.53,152.153,152.46,234974
2023-02-14 09:51:00-05:00,152.47,152.479,152.16,152.23,236639
2023-02-14 09:52:00-05:00,152.215,152.305,152.04,152.21,243206
2023-02-14 09:53:00-05:00,152.225,152.238,152.0,152.075,245656
2023-02-14 09:54:00-05:00,152.06,152.35,152.0,152.33,176551
2023-02-14 09:55:00-05:00,152.335,152.78,152.335,152.78,325461
2023-02-14 09:56:00-05:00,152.78,152.82,152.61,152.695,204922
2023-02-14 09:57:00-05:00,152.7,152.89,152.69,152.872,212641
2023-02-14 09:58:00-05:00,152.88,153.0,152.815,152.87,194654
2023-02-14 09:59:00-05:00,152.865,152.99,152.8,152.84,187081
2023-02-14 10:00:00-05:00,152.84,153.03,152.8,152.86,223924
2023-02-14 10:01:00-05:00,152.85,153.17,152.85,153.15,231319
2023-02-14 10:02:00-05:00,153.153,153.29,153.1,153.18,173612
2023-02-14 10:03:00-05:00,153.17,153.59,153.17,153.44,288167
2023-02-14 10:04:00-05:00,153.445,153.51,153.366,153.38,234194
2023-02-14 10:05:00-05:00,153.39,153.49,153.28,153.4,224531
2023-02-14 10:06:00-05:00,153.391,153.52,153.33,153.44,182733
2023-02-14 10:07:00-05:00,153.446,153.61,153.37,153.56,175630
2023-02-14 10:08:00-05:00,153.58,153.658,153.42,153.44,169966
2023-02-14 10:09:00-05:00,153.43,153.5,153.35,153.5,151299
2023-02-14 10:10:00-05:00,153.495,153.5,153.33,153.44,177034
2023-02-14 10:11:00-05:00,153.45,153.77,153.41,153.63,314802
2023-02-14 10:12:00-05:00,153.64,153.65,153.42,153.43,185144
2023-02-14 10:13:00-05:00,153.43,153.44,153.21,153.35,196892
2023-02-14 10:14:00-05:00,153.36,153.37,153.226,153.267,161925
2023-02-14 10:15:00-05:00,153.275,153.46,153.24,153.449,230285
2023-02-14 10:16:00-05:00,153.46,153.51,153.26,153.47,123174
2023-02-14 10:17:00-05:00,153.47,153.63,153.42,153.44,224792
2023-02-14 10:18:00-05:00,153.46,153.485,153.2,153.32,146927
2023-02-14 10:19:00-05:00,153.34,153.36,153.04,153.16,183378
2023-02-14 10:20:00-05:00,153.18,153.323,153.12,153.198,134618
2023-02-14 10:21:00-05:00,153.19,153.45,153.14,153.33,138057
2023-02-14 10:22:00-05:00,153.35,153.37,153.16,153.3,143227
2023-02-14 10:23:00-05:00,153.307,153.44,153.302,153.37,87203
2023-02-14 10:24:00-05:00,153.38,153.424,153.27,153.37,109386
2023-02-14 10:25:00-05:00,153.38,153.46,153.3,153.4,111977
2023-02-14 10:26:00-05:00,153.415,153.5,153.32,153.36,110049
2023-02-14 10:27:00-05:00,153.34,153.41,153.25,153.35,106363
2023-02-14 10:28:00-05:00,153.35,153.373,153.01,153.08,182109
2023-02-14 10:29:00-05:00,153.08,153.176,152.88,152.94,221837
2023-02-14 10:30:00-05:00,152.94,153.08,152.88,152.923,139011
2023-02-14 10:31:00-05:00,152.93,152.939,152.661,152.72,199983
2023-02-14 10:32:00-05:00,152.72,152.75,152.572,152.63,149791
2023-02-14 10:33:00-05:00,152.625,152.73,152.55,152.6,127414
2023-02-14 10:34:00-05:00,152.6,152.7,152.51,152.55,102934
2023-02-14 10:35:00-05:00,152.54,152.54,152.14,152.19,270641
2023-02-14 10:36:00-05:00,152.18,152.21,151.99,152.172,283581
2023-02-14 10:37:00-05:00,152.175,152.19,151.87,151.9,210394
2023-02-14 10:38:00-05:00,151.9,151.99,151.71,151.77,204389
2023-02-14 10:39:00-05:00,151.78,151.9,151.6,151.62,217945
2023-02-14 10:40:00-05:00,151.63,151.74,151.46,151.48,209465
