Date,Open,High,Low,Close,Volume
2022-02-22 00:00:00-05:00,424.995,428.548,419.061,422.712,124391800
2022-02-23 00:00:00-05:00,425.753,426.343,414.623,415.214,132578000
2022-02-24 00:00:00-05:00,404.458,421.915,404.084,421.462,213942900
2022-02-25 00:00:00-05:00,422.752,430.85,421.029,430.762,121804500
2022-02-28 00:00:00-05:00,425.133,431.204,423.824,429.66,145615000
2022-03-01 00:00:00-05:00,428.095,430.191,420.291,423.116,137785900
2022-03-02 00:00:00-05:00,425.467,432.7,424.68,430.899,117726500
2022-03-03 00:00:00-05:00,433.438,434.068,426.875,428.754,105501700
2022-03-04 00:00:00-05:00,424.857,426.452,421.049,425.271,113978200
2022-03-07 00:00:00-05:00,424.661,425.399,412.665,412.734,137896600
2022-03-08 00:00:00-05:00,412.921,420.39,408.493,409.605,164772700
2022-03-09 00:00:00-05:00,418.353,422.653,416.07,420.587,116990800
2022-03-10 00:00:00-05:00,415.775,419.622,413.728,418.688,93972700
2022-03-11 00:00:00-05:00,421.285,421.925,412.833,413.364,95636300
2022-03-14 00:00:00-04:00,414.171,417.772,409.152,410.343,95729200
2022-03-15 00:00:00-04:00,413.069,420.026,411.74,419.366,106219100
2022-03-16 00:00:00-04:00,423.027,428.725,418.018,428.666,144954800
2022-03-17 00:00:00-04:00,426.668,434.029,426.274,434.029,102676900
2022-03-18 00:00:00-04:00,432.347,439.118,431.577,438.782,106345500
2022-03-21 00:00:00-04:00,438.605,440.697,434.992,438.654,88349800
2022-03-22 00:00:00-04:00,440.105,444.764,440.105,443.787,74650400
2022-03-23 00:00:00-04:00,441.142,442.701,437.983,438.072,79426100
2022-03-24 00:00:00-04:00,440.184,444.685,439.019,444.675,64736900
2022-03-25 00:00:00-04:00,445.337,447.133,442.642,446.847,77101300
2022-03-28 00:00:00-04:00,446.225,450.025,444.251,450.025,68529800
2022-03-29 00:00:00-04:00,454.082,456.106,451.279,455.593,86581500
2022-03-30 00:00:00-04:00,454.398,455.247,450.578,452.779,79666900
2022-03-31 00:00:00-04:00,451.98,452.839,445.337,445.811,121699900
2022-04-01 00:00:00-04:00,447.459,447.607,443.343,447.074,89048800
2022-04-04 00:00:00-04:00,447.281,451.013,446.423,450.904,59601000
2022-04-05 00:00:00-04:00,449.344,451.921,444.014,445.208,74214500
2022-04-06 00:00:00-04:00,441.122,443.136,437.746,440.757,106898000
2022-04-07 00:00:00-04:00,439.839,444.873,437.805,442.978,78097200
2022-04-08 00:00:00-04:00,442.188,444.814,440.184,441.793,79272700
2022-04-11 00:00:00-04:00,438.378,439.256,433.719,434.242,89770500
2022-04-12 00:00:00-04:00,437.361,439.997,431.014,432.633,84363600
2022-04-13 00:00:00-04:00,432.376,438.378,432.189,437.588,74070400
2022-04-14 00:00:00-04:00,437.825,438.99,432.031,432.139,97869500
2022-04-18 00:00:00-04:00,431.172,434.074,429.987,432.317,66002500
2022-04-19 00:00:00-04:00,432.208,440.046,432.031,439.296,77821000
2022-04-20 00:00:00-04:00,441.151,441.793,437.756,438.97,65224400
2022-04-21 00:00:00-04:00,442.751,444.202,431.458,432.406,85417300
2022-04-22 00:00:00-04:00,431.271,432.426,419.949,420.541,132471800
2022-04-25 00:00:00-04:00,418.202,423.157,413.434,422.979,119647700
2022-04-26 00:00:00-04:00,420.334,420.541,410.7,410.729,103996300
2022-04-27 00:00:00-04:00,411.855,417.461,409.653,411.884,122030000
2022-04-28 00:00:00-04:00,416.839,424.095,412.21,422.288,105449100
2022-04-29 00:00:00-04:00,418.123,420.373,405.902,406.682,145491100
2022-05-02 00:00:00-04:00,406.751,410.552,399.792,409.13,158312500
2022-05-03 00:00:00-04:00,409.653,413.523,408.025,411.006,100028200
2022-05-04 00:00:00-04:00,411.697,424.114,408.37,423.522,144247900
2022-05-05 00:00:00-04:00,419.07,419.514,404.155,408.469,172929100
2022-05-06 00:00:00-04:00,405.794,409.446,400.493,406.031,151770800
2022-05-09 00:00:00-04:00,399.871,401.164,391.382,393.031,155586100
2022-05-10 00:00:00-04:00,399.269,400.839,389.724,393.939,132497200
2022-05-11 00:00:00-04:00,392.932,398.825,386.901,387.681,142361000
2022-05-12 00:00:00-04:00,384.344,390.691,380.179,387.276,125090800
2022-05-13 00:00:00-04:00,391.59,397.976,390.504,396.535,104174400
2022-05-16 00:00:00-04:00,394.817,398.756,392.468,394.926,78622400
2022-05-17 00:00:00-04:00,401.283,403.296,397.384,403.05,83029700
2022-05-18 00:00:00-04:00,398.292,398.588,385.509,386.802,117674500
2022-05-19 00:00:00-04:00,383.604,389.053,382.113,384.433,98510700
2022-05-20 00:00:00-04:00,388.174,391.905,375.628,384.601,131432200
2022-05-23 00:00:00-04:00,387.76,392.596,385.341,391.797,76414900
2022-05-24 00:00:00-04:00,387.493,390.05,381.965,388.806,91448800
2022-05-25 00:00:00-04:00,387.246,394.294,386.832,392.241,91472900
2022-05-26 00:00:00-04:00,393.524,401.786,393.307,400.079,82168300
2022-05-27 00:00:00-04:00,402.645,410.019,402.438,409.9,84768700
2022-05-31 00:00:00-04:00,408.212,411.085,404.738,407.6,95937000
2022-06-01 00:00:00-04:00,409.811,410.867,401.678,404.303,86585800
2022-06-02 00:00:00-04:00,404.136,412.052,401.786,412.003,79609600
2022-06-03 00:00:00-04:00,407.077,408.696,404.224,405.241,71874300
2022-06-06 00:00:00-04:00,409.426,411.233,405.251,406.475,57508900
2022-06-07 00:00:00-04:00,402.833,410.848,402.349,410.374,59272400
2022-06-08 00:00:00-04:00,408.587,410.453,405.083,405.912,64350000
2022-06-09 00:00:00-04:00,404.057,406.426,396.259,396.259,86289800
2022-06-10 00:00:00-04:00,389.783,390.672,384.719,384.769,132893900
2022-06-13 00:00:00-04:00,374.947,376.882,368.482,370.16,170004900
2022-06-14 00:00:00-04:00,371.986,373.062,365.807,369.044,104011800
2022-06-15 00:00:00-04:00,372.489,378.945,367.317,374.306,125666800
2022-06-16 00:00:00-04:00,365.728,366.152,359.381,361.918,134473300
2022-06-17 00:00:00-04:00,362.351,366.187,359.04,362.698,111113900
2022-06-21 00:00:00-04:00,368.676,373.276,368.596,371.828,76811900
