Datetime,Open,High,Low,Close,Volume
2023-02-14 09:30:00-05:00,98.41,98.54,98.0,98.07,2642070
2023-02-14 09:31:00-05:00,98.082,98.2,97.61,97.79,433022
2023-02-14 09:32:00-05:00,97.725,98.13,97.59,97.965,274626
2023-02-14 09:33:00-05:00,97.965,98.01,97.77,97.873,173016
2023-02-14 09:34:00-05:00,97.9,98.38,97.84,98.278,219145
2023-02-14 09:35:00-05:00,98.3,98.59,98.131,98.47,295000
2023-02-14 09:36:00-05:00,98.47,98.89,98.39,98.853,281615
2023-02-14 09:37:00-05:00,98.848,98.904,98.55,98.74,289721
2023-02-14 09:38:00-05:00,98.72,98.76,98.46,98.52,228999
2023-02-14 09:39:00-05:00,98.5,98.8,98.41,98.75,230030
2023-02-14 09:40:00-05:00,98.74,98.8,98.39,98.52,181430
2023-02-14 09:41:00-05:00,98.54,98.93,98.515,98.895,227130
2023-02-14 09:42:00-05:00,98.88,98.97,98.632,98.7,200382
2023-02-14 09:43:00-05:00,98.69,98.73,98.41,98.64,169056
2023-02-14 09:44:00-05:00,98.64,99.047,98.64,98.895,239432
2023-02-14 09:45:00-05:00,98.89,99.29,98.88,99.27,248850
2023-02-14 09:46:00-05:00,99.256,99.38,99.18,99.37,174009
2023-02-14 09:47:00-05:00,99.37,99.456,99.3,99.35,193848
2023-02-14 09:48:00-05:00,99.34,99.48,99.2,99.21,177451
2023-02-14 09:49:00-05:00,99.25,99.315,99.1,99.25,141520
2023-02-14 09:50:00-05:00,99.25,99.53,99.17,99.47,168983
2023-02-14 09:51:00-05:00,99.466,99.52,99.31,99.35,181991
2023-02-14 09:52:00-05:00,99.34,99.48,99.28,99.31,126700
2023-02-14 09:53:00-05:00,99.3,99.32,99.04,99.1,166612
2023-02-14 09:54:00-05:00,99.095,99.463,99.07,99.45,141586
2023-02-14 09:55:00-05:00,99.47,99.96,99.47,99.96,293402
2023-02-14 09:56:00-05:00,99.95,99.97,99.79,99.97,217260
2023-02-14 09:57:00-05:00,99.97,100.21,99.87,100.19,389703
2023-02-14 09:58:00-05:00,100.2,100.29,100.03,100.069,183356
2023-02-14 09:59:00-05:00,100.073,100.2,100.06,100.066,126992
2023-02-14 10:00:00-05:00,100.085,100.37,100.085,100.316,182309
2023-02-14 10:01:00-05:00,100.33,100.544,100.33,100.54,407098
2023-02-14 10:02:00-05:00,100.54,100.78,100.54,100.72,228805
2023-02-14 10:03:00-05:00,100.715,100.921,100.71,100.77,177473
2023-02-14 10:04:00-05:00,100.78,100.86,100.6,100.64,151322
2023-02-14 10:05:00-05:00,100.64,100.712,100.52,100.66,196853
2023-02-14 10:06:00-05:00,100.66,100.82,100.64,100.757,336642
2023-02-14 10:07:00-05:00,100.744,100.76,100.48,100.615,216280
2023-02-14 10:08:00-05:00,100.625,100.65,100.46,100.52,131412
2023-02-14 10:09:00-05:00,100.5,100.52,100.32,100.36,141393
2023-02-14 10:10:00-05:00,100.372,100.42,100.17,100.37,242565
2023-02-14 10:11:00-05:00,100.37,100.64,100.37,100.635,212278
2023-02-14 10:12:00-05:00,100.64,100.685,100.5,100.57,164427
2023-02-14 10:13:00-05:00,100.567,100.57,100.28,100.41,136890
2023-02-14 10:14:00-05:00,100.41,100.43,100.3,100.384,99018
2023-02-14 10:15:00-05:00,100.39,100.42,100.26,100.385,100879
2023-02-14 10:16:00-05:00,100.4,100.43,100.28,100.34,111409
2023-02-14 10:17:00-05:00,100.35,100.56,100.27,100.3,173775
2023-02-14 10:18:00-05:00,100.316,100.54,100.26,100.5,240536
2023-02-14 10:19:00-05:00,100.51,100.53,100.25,100.3,103980
2023-02-14 10:20:00-05:00,100.29,100.39,100.23,100.327,108612
2023-02-14 10:21:00-05:00,100.32,100.511,100.28,100.45,97945
2023-02-14 10:22:00-05:00,100.43,100.49,100.4,100.453,78555
2023-02-14 10:23:00-05:00,100.453,100.61,100.453,100.54,124144
2023-02-14 10:24:00-05:00,100.535,100.535,100.33,100.33,114261
2023-02-14 10:25:00-05:00,100.343,100.343,100.13,100.19,125377
2023-02-14 10:26:00-05:00,100.18,100.28,100.13,100.15,132635
2023-02-14 10:27:00-05:00,100.14,100.25,100.07,100.12,122006
2023-02-14 10:28:00-05:00,100.115,100.115,99.95,99.98,206779
2023-02-14 10:29:00-05:00,99.97,100.005,99.66,99.76,220053
2023-02-14 10:30:00-05:00,99.76,99.83,99.63,99.657,161962
2023-02-14 10:31:00-05:00,99.66,99.665,99.42,99.455,216917
2023-02-14 10:32:00-05:00,99.455,99.5,99.315,99.447,249739
2023-02-14 10:33:00-05:00,99.435,99.49,99.27,99.34,167809
2023-02-14 10:34:00-05:00,99.345,99.46,99.26,99.27,268719
2023-02-14 10:35:00-05:00,99.267,99.27,98.96,99.0,351867
